"code";"pairCode";"defaultCategory";"categoryText";"categoryText2";"categoryText3"
"BAS_BASYS-BD 730211";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 730238";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 730262";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 730289";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 708429";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 707015";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 707023";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 727717";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 705888";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 708941";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 708364";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 737178";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 707155";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 705926";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 707252";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 707260";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 707295";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"BAS_BASYS-BD 707287";"";"Profesionálna audio technika > Mikrofóny a bezdrôtové systémy";"";"";""
"AT_EMO3402044000";"";"Elektro, Smart Home a osvetlenie > Bezdrôtové zvončeky";"";"";""
"AT_EMO3402121000";"";"Elektro, Smart Home a osvetlenie > Bezdrôtové zvončeky";"";"";""
"070873";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Otvorené bezdrôtové slúchadlá";"";"";""
"073414";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"073413";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"066360";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"065953";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"065951";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"065952";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"070759";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"070766";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"065954";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"070770";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"086216";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"045443";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"072742";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"074620";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"080473";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"080470";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"045438";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"070535";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"070536";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"045440";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"045439";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"080475";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Otvorené bezdrôtové slúchadlá";"";"";""
"083790";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Otvorené bezdrôtové slúchadlá";"";"";""
"080474";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Otvorené bezdrôtové slúchadlá";"";"";""
"045437";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"070534";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"074622";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"088838";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá > Náhlavné bezdrôtové slúchadlá";"";"";""
"088201";"";"TV, audio, video a foto technika > Audio technika > Slúchadlá > Bezdrôtové slúchadlá";"";"";""
