"code";"pairCode";"defaultCategory";"categoryText";"categoryText2";"categoryText3"
"ABL-30-B3-020";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"TIP-07720170";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Kliešťové merače";"";"";""
"TIP-07720241";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-04240621";"";"Energia a napájanie > Nabíjačky batérií a akumulátorov";"Auto-moto > Karavany a obytné autá";"Auto-moto > Autobatérie, nabíjačky a štartovacie boxy > Nabíjačky autobatérií";""
"TIP-07720180";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07730003";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-07730044";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"NED-WIFIVCL001CBK";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia";"Domáce spotrebiče > Vysávače > Robotické vysávače";"";""
"NED-WIFIVCR001CBK";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia";"Domáce spotrebiče > Vysávače > Robotické vysávače";"";""
"ATO-KM2010";"";"Auto-moto > Elektronika do auta > Autorádiá";"";"";""
"ABT-A500004824";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické konektory";"";"";""
"SPR-FVEPV6BL50";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"H1Z2Z2-K-RED-4-M";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"ABL-30-B1-309";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-310";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-311";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-489";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-490";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ABL-30-B1-627";"";"Cestovanie, šport a outdoor > Bojové športy > Chrániče pre bojové športy";"";"";""
"ATO-N350";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"";"";""
"SKP6MM5MBLACK";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"SKP6MM5MRED";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické káble";"Elektro, Smart Home a osvetlenie > Káble a vodiče";"";""
"TIP-07720249";"";"Dielňa, náradie a záhrada > Meracia technika > Multimetre a kliešťové merače > Digitálne multimetre";"";"";""
"TIP-06444296";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart termostaty a hlavice";"Elektro, Smart Home a osvetlenie > Elektromery a spínacia technika";"";""
"TIP-06444298";"";"Elektro, Smart Home a osvetlenie > Smart domácnosť – zariadenia > Smart zásuvky";"Elektro, Smart Home a osvetlenie > Elektromery a spínacia technika";"";""
"ABL-30-B1-317";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-318";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-319";"";"Cestovanie, šport a outdoor > Bojové športy > MMA rukavice";"";"";""
"ABL-30-B1-326";"";"Cestovanie, šport a outdoor > Bojové športy > Boxerské rukavice";"";"";""
"ZSPVLTM011000V";"";"Energia a napájanie > Fotovoltaika > Káble a konektory pre fotovoltaiku > Fotovoltaické konektory";"";"";""
