id;name;indexName;description;webUrl;inMenu;inList;metaTitle;metaDescription;manufacturingCompanyName;postalAddress;contactEmail;europeanResellerManufacturingCompanyName;europeanResellerPostalAddress;europeanResellerContactEmail;
"2820";"Best-Led";"best-led";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2856";"KNI";"kni";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2859";"ZZONE";"zzone";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2862";"WHD";"whd";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2865";"PROJ";"proj";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2868";"Elite";"elite";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2880";"TRUTHEAR";"truthear";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2886";"Delis";"delis";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2895";"BCS";"bcs";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2952";"Marimex";"marimex";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2955";"Tiffen";"tiffen";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2958";"Fiskars";"fiskars";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2964";"ARTA";"arta";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2976";"Keter";"keter";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2982";"Kistenberg";"kistenberg";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2988";"MaDe";"made";"";"";"0";"0";"";"";"";"";"";"";"";"";
"2991";"Intex";"intex";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3000";"Mattel";"mattel";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3006";"Richter";"richter";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3018";"Prosperplast";"prosperplast";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3021";"Villa";"villa";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3042";"Dickie";"dickie";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3048";"Platinet";"platinet";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3051";"Hasbro";"hasbro";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3057";"Vilac";"vilac";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3060";"Woody";"woody";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3063";"Albi";"albi";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3084";"Meetion";"meetion";"";"";"0";"0";"";"";"";"";"";"";"";"";
"3090";"Zmodo";"zmodo";"";"";"0";"0";"";"";"";"";"";"";"";"";
