code;pairCode;name;guid;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;categoryText5;categoryText6;categoryText7;categoryText8;categoryText9;categoryText10;categoryText11;
"AT_M8X120TORX40";;"Vrut M8x120 do dřevostaveb talířová hlava, Torx 40, nerez A2";"43d7c138-a417-11f1-890a-bc2411e8af0e";"Fotovoltaika a energie > Fotovoltaika > Konštrukcia pre solárne panely > Spojovacie materiál";"Fotovoltaika a energie > Fotovoltaika > Konštrukcia pre solárne panely > Spojovacie materiál";"TV, audio a video > Antény a satelity > Konzoly, stožiare, uzemnenie > Spojovací a kotviaci materiál, chémia > Vruty, hmoždinky";;;;;;;;;;
"AT_TIP-09830155";;"Ochranný obvod pro 1 Li-Ion článek 18650, proud do 2A";"44159bc0-a417-11f1-9e9f-bc2411e8af0e";"Náradie a dielňa > Elektronické súčiastky > Arduino a moduly > Príslušenstvo Arduino";"Náradie a dielňa > Elektronické súčiastky > Arduino a moduly > Príslušenstvo Arduino";;;;;;;;;;;
"AT_ELE-1009451";;"VENTS FFK 125 filtr pro KAM";"444d7392-a417-11f1-8616-bc2411e8af0e";"Elektroinštalačný materiál > Ventilačné technika";"Elektroinštalačný materiál > Ventilačné technika";;;;;;;;;;;
"AT_ABL-17-5-085";;"Magnetický veslařský trenažér HMS ZM1801";"44756e24-a417-11f1-aa3f-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry";"Šport, hračky a voľný čas > Posilňovanie a fitness > Trenažéry";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;;
"AT_ABL-17-57-036";;"Nakládací činky HMS SGP30, 30 kg";"4487c894-a417-11f1-b2d9-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Činky nastaviteľné";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Činky nastaviteľné";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;;
"AT_FF13A";;"Konektor F spojka PROFI";"44cfd800-a417-11f1-865c-bc2411e8af0e";"TV, audio a video > Antény a satelity > Konektory";"TV, audio a video > Antény a satelity > Konektory";;;;;;;;;;;
"AT_LEC-RBA-2330-4";;"Činky REBEL ACTIVE RBA-2330-4 litinové neoprenové HEX 2x4kg";"4566ff32-a417-11f1-badc-bc2411e8af0e";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Činky jednoruční";"Šport, hračky a voľný čas > Posilňovanie a fitness > Činky a príslušenstvo > Činky jednoruční";"Šport, hračky a voľný čas > Posilňovanie a fitness – vybavenie";;;;;;;;;;
"AT_ELE-1009814";;"VENTS DM 400x500 kovová revizní dvířka";"45747180-a417-11f1-838e-bc2411e8af0e";"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Kovová revízne dvierka";"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Kovová revízne dvierka";"Elektroinštalačný materiál > Ventilačné technika > Revízne dvierka > Kovová revízne dvierka";;;;;;;;;;
"AT_ELE-1009815";;"VENTS DM 500x500 kovová revizní dvířka";"457edb52-a417-11f1-bc31-bc2411e8af0e";"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Kovová revízne dvierka";"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Kovová revízne dvierka";"Elektroinštalačný materiál > Ventilačné technika > Revízne dvierka > Kovová revízne dvierka";;;;;;;;;;
"AT_ELE-1009865";;"VENTS DMZ 400x500 kovová revizní dvířka se zámkem";"458d3530-a417-11f1-b3d3-bc2411e8af0e";"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Kovová revízne dvierka";"Elektroinštalačný materiál > Montážne skrine a rozvádzače > Revízne dvierka > Kovová revízne dvierka";"Elektroinštalačný materiál > Ventilačné technika > Revízne dvierka > Kovová revízne dvierka";;;;;;;;;;
