id;parentId;parentUrl;expandInMenu;visible;priority;access;title;linkText;url;topDescription;bottomDescription;metaTitle;metaDescription
"45978";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Starostlivosť o pleť";"Starostlivosť o pleť";"starostlivost-o-plet";"";"";"Starostlivosť o pleť | PremiumStore.sk";"Starostlivosť o pleť v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"46080";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Sonické zubné kefky";"Sonické zubné kefky";"sonicke-zubne-kefky";"";"";"Zdravie a starostlivosť – Sonické zubné kefky | PremiumStore.sk";"Zdravie a starostlivosť – Sonické zubné kefky: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"46086";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Osobná starostlivosť";"Osobná starostlivosť";"osobna-starostlivost";"";"";"Osobná starostlivosť | PremiumStore.sk";"Osobná starostlivosť – nakupujte výhodne na PremiumStore.sk. Overené produkty a jasný popis parametrov.";
"46260";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Predlžovanie rias";"Predlžovanie rias";"predlzovanie-rias";"";"";"Predlžovanie rias | PremiumStore.sk";"Predlžovanie rias – veľký výber skladom, rýchle dodanie a výhodné ceny na PremiumStore.sk.";
"46329";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Ústne sprchy";"Ústne sprchy";"ustne-sprchy-2";"";"";"Zdravie a starostlivosť – Ústne sprchy | PremiumStore.sk";"Zdravie a starostlivosť – Ústne sprchy na PremiumStore.sk – overené produkty, výhodné ceny a odborné poradenstvo pri výbere.";
"46506";"39582";"zdravie-a-starostlivost";"0";"0";"";"5";"Erotika";"Erotika";"erotika";"";"";"Erotika | PremiumStore.sk";"Erotika: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
"46740";"39582";"zdravie-a-starostlivost";"0";"0";"";"1";"Váhy";"Váhy";"vahy";"";"";"Váhy | PremiumStore.sk";"Váhy v ponuke PremiumStore.sk. Prehľadné parametre, rýchle dodanie po celom Slovensku.";
"40650";"39591";"starostlivost-o-vlasy";"0";"0";"";"1";"Hrebene na vlasy";"Hrebene na vlasy";"hrebene-na-vlasy";"";"";"Hrebene na vlasy | PremiumStore.sk";"Hrebene na vlasy skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"46542";"39591";"starostlivost-o-vlasy";"0";"0";"";"1";"Žehličky na vlasy a kulmy";"Žehličky na vlasy a kulmy";"zehlicky-na-vlasy-a-kulmy";"";"";"Žehličky na vlasy a kulmy | PremiumStore.sk";"Žehličky na vlasy a kulmy skladom na PremiumStore.sk. Porovnajte parametre aj ceny a vyberte si presne to, čo potrebujete.";
"40389";"39597";"kuchynske-roboty-a-krajace";"0";"0";"";"1";"Mlynčeky na mäso";"Mlynčeky na mäso";"mlynceky-na-maso";"";"";"Mlynčeky na mäso | PremiumStore.sk";"Mlynčeky na mäso: široký sortiment a rýchle dodanie. Nájdite si ten pravý produkt na PremiumStore.sk.";
