id;parentId;depth;name;url;full_path
g174;nmtx31bbmx4yo53;1;Tlačiarne, skenery a spotrebný materiál;tlaciarne-a-skenery-2;Počítače, mobily a tablety > Tlačiarne, skenery a spotrebný materiál
g155;nmtx31bbmx4yo53;1;Tlačidlové telefóny;tlacidlove-telefony;Počítače, mobily a tablety > Tlačidlové telefóny
g152;nmtx31bbmx4yo53;1;USB káble;usb-kable-4;Počítače, mobily a tablety > USB káble
g180;nmtx31bbmx4yo53;1;Webkamery;webkamery-3;Počítače, mobily a tablety > Webkamery
g177;nmtx31bbmx4yo53;1;WiFi routery a sieťové karty;sietove-prvky-2;Počítače, mobily a tablety > WiFi routery a sieťové karty
g192;nmtx31bbmx4yo53;1;Čítačky pamäťových kariet;citacky-kariet-2;Počítače, mobily a tablety > Čítačky pamäťových kariet
nmtx320addb9vn5;;0;Profesionálna audio technika;profesionalna-audio-technika;Profesionálna audio technika
g207;nmtx320addb9vn5;1;Car audio;car-audio;Profesionálna audio technika > Car audio
g201;nmtx320addb9vn5;1;Hudobné nástroje a príslušenstvo;hudobne-nastroje-a-prislusenstvo;Profesionálna audio technika > Hudobné nástroje a príslušenstvo
g199;nmtx320addb9vn5;1;Káble, konektory a redukcie;kable--konektory-a-redukcie;Profesionálna audio technika > Káble, konektory a redukcie
g203;nmtx320addb9vn5;1;Mikrofóny a bezdrôtové systémy;mikrofony-a-bezdrotove-systemy;Profesionálna audio technika > Mikrofóny a bezdrôtové systémy
g208;nmtx320addb9vn5;1;Multi-room ozvučenie;multi-room-ozvucenie;Profesionálna audio technika > Multi-room ozvučenie
g200;nmtx320addb9vn5;1;PA reproduktory;pa-reproduktory;Profesionálna audio technika > PA reproduktory
g198;nmtx320addb9vn5;1;Plošné ozvučenie (100V rozhlasové ozvučenie);plosne-ozvucenie--100v-rozhlasove-ozvucenie;Profesionálna audio technika > Plošné ozvučenie (100V rozhlasové ozvučenie)
g197;nmtx320addb9vn5;1;Pódium, diskotéka, DJ;podium--diskoteka--dj;Profesionálna audio technika > Pódium, diskotéka, DJ
g202;nmtx320addb9vn5;1;Svetlá pre DJ a diskotéky;svetla-2;Profesionálna audio technika > Svetlá pre DJ a diskotéky
g205;nmtx320addb9vn5;1;Súčiastky, meracia technika a DIY pre audio;naradia--do-it-yourself--napajanie--meracia-technika;Profesionálna audio technika > Súčiastky, meracia technika a DIY pre audio
g204;nmtx320addb9vn5;1;Tlmočnícke a konferenčné systémy;tlmocnicke--sprievodcovske-a-konferencne-systemy;Profesionálna audio technika > Tlmočnícke a konferenčné systémy
nmtx2pijr74war9;;0;TV, audio, video a foto technika;tv-foto-audio-video;TV, audio, video a foto technika
g4;nmtx2pijr74war9;1;AV káble;av-kable;TV, audio, video a foto technika > AV káble
g3;nmtx2pijr74war9;1;Antény a satelity;anteny-a-satelity;TV, audio, video a foto technika > Antény a satelity
g1;nmtx2pijr74war9;1;Audio technika;audio-technika;TV, audio, video a foto technika > Audio technika
g2;g1;2;HiFi a domáce reproduktory;hifi-a-domace-reproduktory;TV, audio, video a foto technika > Audio technika > HiFi a domáce reproduktory
nmtx2ua3sk2773f;nmtx2pijr74war9;1;Diaľkové ovládače;dialkove-ovladace;TV, audio, video a foto technika > Diaľkové ovládače
nmty9jotps9d0cb;nmtx2ua3sk2773f;2;Audio ovládače;audio-ovladace;TV, audio, video a foto technika > Diaľkové ovládače > Audio ovládače
nmty9jzhykcbl21;nmtx2ua3sk2773f;2;DVD ovládače;dvd-ovladace;TV, audio, video a foto technika > Diaľkové ovládače > DVD ovládače
nmty9jds1txp46f;nmtx2ua3sk2773f;2;Ovládače k DVB-T2;ovladace-k-dvb-t2;TV, audio, video a foto technika > Diaľkové ovládače > Ovládače k DVB-T2
nmty9i2sc3fup0s;nmtx2ua3sk2773f;2;Satelitné ovládače;satelitne-ovladace;TV, audio, video a foto technika > Diaľkové ovládače > Satelitné ovládače
nmtx2uzhda71f2c;nmtx2ua3sk2773f;2;Televízne ovládače;televizne-ovladace;TV, audio, video a foto technika > Diaľkové ovládače > Televízne ovládače
nmty9kp617bj9sx;nmtx2ua3sk2773f;2;Univerzálne ovládače;univerzalne-ovladace;TV, audio, video a foto technika > Diaľkové ovládače > Univerzálne ovládače
nmty9k964qd0gml;nmtx2ua3sk2773f;2;Video ovládače;video-ovladace;TV, audio, video a foto technika > Diaľkové ovládače > Video ovládače
g10;nmtx2pijr74war9;1;Foto a príslušenstvo;foto-a-prislusenstvo;TV, audio, video a foto technika > Foto a príslušenstvo
g19;g10;2;Digitálne kompakty;digitalne-kompakty;TV, audio, video a foto technika > Foto a príslušenstvo > Digitálne kompakty
g14;g10;2;Filtre;filtre-2;TV, audio, video a foto technika > Foto a príslušenstvo > Filtre
g13;g10;2;Fotoateliér;fotoatelier-2;TV, audio, video a foto technika > Foto a príslušenstvo > Fotoateliér
g17;g10;2;Fotopasce;fotopasce-2;TV, audio, video a foto technika > Foto a príslušenstvo > Fotopasce
g15;g10;2;Gimbály a stabilizátory;gimbaly-a-stabilizatory-2;TV, audio, video a foto technika > Foto a príslušenstvo > Gimbály a stabilizátory
g11;g10;2;Príslušenstvo pre fotoaparáty a akčné kamery;prislusenstvo-pre-fotoaparaty-a-akcne-kamery;TV, audio, video a foto technika > Foto a príslušenstvo > Príslušenstvo pre fotoaparáty a akčné kamery
g12;g10;2;Selfie tyče;postroje--upevnovacie-prvky-a-drziaky-2;TV, audio, video a foto technika > Foto a príslušenstvo > Selfie tyče
g16;g10;2;Skladovanie a preprava;skladovanie-a-preprava-2;TV, audio, video a foto technika > Foto a príslušenstvo > Skladovanie a preprava
