id;parentId;depth;is_leaf;visible;full_path;url;direct_products;subtree_products;empty
39870;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Vône do vysávače;vone-do-vysavace;0;0;1
40875;39483;3;1;1;Domáce spotrebiče > Malé spotrebiče > Príslušenstvo k malým spotrebičom > Príslušenstvo ku vzduchotechnike;prislusenstvo-ku-vzduchotechnike;0;0;1
39492;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Kávové kapsle;kavove-kapsle;64;64;0
39675;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Mlynčeky na kávu;mlynceky-na-kavu;7;7;0
39729;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Automatická espressá;automaticka-espressa;15;15;0
39816;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Prekvapkávače;prekvapkavace;11;11;0
39903;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Kávovary na kapsle;kavovary-na-kapsle;13;13;0
39918;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Napěňovače mlieka;napenovace-mlieka;0;0;1
39951;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Káva;kava;44;44;0
40167;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Pákové kávovary;pakove-kavovary;13;13;0
40221;39489;3;1;1;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Moka kanvice a frenchpressy;moka-kanvice-a-frenchpressy;20;20;0
39498;39495;3;1;1;Domáce spotrebiče > Malé spotrebiče > Sendvičovače, hriankovače, vaflovače > Hriankovače;hriankovace;30;30;0
39501;39495;3;1;1;Domáce spotrebiče > Malé spotrebiče > Sendvičovače, hriankovače, vaflovače > Sendvičovače;sendvicovace;22;22;0
39627;39495;3;1;1;Domáce spotrebiče > Malé spotrebiče > Sendvičovače, hriankovače, vaflovače > Vaflovače;vaflovace;16;16;0
39549;39546;2;0;1;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky;varne-dosky;1;54;0
39621;39546;2;0;1;Domáce spotrebiče > Vstavané spotrebiče > Digestory;digestory;8;35;0
39972;39546;2;0;1;Domáce spotrebiče > Vstavané spotrebiče > Vstavané umývačky riadu;vstavane-umyvacky-riadu;0;39;0
39990;39546;2;0;1;Domáce spotrebiče > Vstavané spotrebiče > Vstavané rúry;vstavane-rury;2;42;0
40059;39546;2;1;1;Domáce spotrebiče > Vstavané spotrebiče > Vstavané mikrovlnné rúry;vstavane-mikrovlnne-rury;15;15;0
40644;39546;2;0;1;Domáce spotrebiče > Vstavané spotrebiče > Vstavané chladenie;vstavane-chladenie;9;9;0
39552;39549;3;1;1;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Sklokeramické varné dosky;sklokeramicke-varne-dosky;9;9;0
39615;39549;3;1;1;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Plynové varné dosky;plynove-varne-dosky;14;14;0
39894;39549;3;1;1;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Indukčné varné dosky;indukcne-varne-dosky;30;30;0
40851;39549;3;1;1;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Elektrické varné dosky;elektricke-varne-dosky;0;0;1
39570;39567;3;1;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Elektrické panvice;elektricke-panvice;12;12;0
39573;39567;3;1;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Multifunkčné hrnce;multifunkcne-hrnce;34;34;0
39657;39567;3;1;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Zaváracie hrnce;zavaracie-hrnce;0;0;1
39672;39567;3;1;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Fritézy;fritezy;64;64;0
39813;39567;3;1;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Parné hrnce;parne-hrnce;9;9;0
39984;39567;3;1;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Ryžovary;ryzovary;0;0;1
40044;39567;3;1;1;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Polievkovary;polievkovary;0;0;1
