depth;full_path;url
3;Akcie > Zľavové akcie > Amazfit Watch;https://www.planeo.sk/amazfit-watch
3;Akcie > Zľavové akcie > Hal3000 TOP ceny;https://www.planeo.sk/hal3000-top-ceny
3;Akcie > Zľavové akcie > Huawei Watch GT7 Novinky;https://www.planeo.sk/huawei-novinky
3;Akcie > Zľavové akcie > Jesenný výpredaj so značkou Fieldmann - zľava 20%;https://www.planeo.sk/zlava-20-fieldmann
3;Akcie > Zľavové akcie > LG PLANEO days;https://www.planeo.sk/lg-planeo-days-vyhodne-zlavy
3;Akcie > Zľavové akcie > Rakuten Kobo TOP Ceny;https://www.planeo.sk/rakuten-kobo-top-ceny
3;Akcie > Zľavové akcie > SENCOR DAYS;https://www.planeo.sk/sencor-days
3;Akcie > Zľavové akcie > Samsung TOP ceny;https://www.planeo.sk/samsung-zlavy
3;Akcie > Zľavové akcie > Výpredaj;https://www.planeo.sk/vypredaj-elektro
3;Akcie > Zľavové akcie > Xiaomi novinky;https://www.planeo.sk/xiaomi-zlavy
3;Akcie > Zľavové akcie > Zľavy Roborock;https://www.planeo.sk/zlavy-roborock
1;Audio-Video;https://www.planeo.sk/audio-video
2;Audio-Video > Audio / Video podľa značky;https://www.planeo.sk/audio-video-podla-znacky
3;Audio-Video > Audio / Video podľa značky > AB Cryptobox audio / video;https://www.planeo.sk/ab-cryptobox-audio-video
3;Audio-Video > Audio / Video podľa značky > Apple audio / video;https://www.planeo.sk/apple-audio-video
3;Audio-Video > Audio / Video podľa značky > Asus audio / video;https://www.planeo.sk/asus-audio-video
3;Audio-Video > Audio / Video podľa značky > Bose audio / video;https://www.planeo.sk/bose-audio-video
3;Audio-Video > Audio / Video podľa značky > Buxton audio / video;https://www.planeo.sk/buxton-audio-video
3;Audio-Video > Audio / Video podľa značky > Emos audio / video;https://www.planeo.sk/emos-audio-video
3;Audio-Video > Audio / Video podľa značky > Hisense audio / video;https://www.planeo.sk/hisense-audio-video
3;Audio-Video > Audio / Video podľa značky > Homatics audio / video;https://www.planeo.sk/homatics-audio-video
3;Audio-Video > Audio / Video podľa značky > Huawei audio / video;https://www.planeo.sk/huawei-audio-video
3;Audio-Video > Audio / Video podľa značky > JBL audio / video;https://www.planeo.sk/jbl-audio-video
3;Audio-Video > Audio / Video podľa značky > JVC audio / video;https://www.planeo.sk/jvc-audio-video
3;Audio-Video > Audio / Video podľa značky > LG audio / video;https://www.planeo.sk/lg-audio-video
3;Audio-Video > Audio / Video podľa značky > Lenovo audio / video;https://www.planeo.sk/lenovo-audio-video
3;Audio-Video > Audio / Video podľa značky > Maxell audio / video;https://www.planeo.sk/maxell-audio-video
3;Audio-Video > Audio / Video podľa značky > Niceboy audio / video;https://www.planeo.sk/niceboy-audio-video
3;Audio-Video > Audio / Video podľa značky > Panasonic audio / video;https://www.planeo.sk/panasonic-audio-video
3;Audio-Video > Audio / Video podľa značky > Philips audio / video;https://www.planeo.sk/philips-audio-video
3;Audio-Video > Audio / Video podľa značky > Pioneer audio / video;https://www.planeo.sk/pioneer-audio-video
3;Audio-Video > Audio / Video podľa značky > Samsung audio / video;https://www.planeo.sk/samsung-audio-video
3;Audio-Video > Audio / Video podľa značky > Sencor audio / video;https://www.planeo.sk/sencor-audio-video
3;Audio-Video > Audio / Video podľa značky > Sharp  audio / video;https://www.planeo.sk/sharp-audio-video
3;Audio-Video > Audio / Video podľa značky > Shokz audio / video;https://www.planeo.sk/shokz-audio-video
3;Audio-Video > Audio / Video podľa značky > Sony audio / video;https://www.planeo.sk/sony-audio-video
3;Audio-Video > Audio / Video podľa značky > Stell audio / video;https://www.planeo.sk/stell-audio-video
3;Audio-Video > Audio / Video podľa značky > TCL audio / video;https://www.planeo.sk/tcl-audio-video
3;Audio-Video > Audio / Video podľa značky > Technics audio / video;https://www.planeo.sk/technics-audio-video
3;Audio-Video > Audio / Video podľa značky > Trust audio / video;https://www.planeo.sk/trust-audio-video
3;Audio-Video > Audio / Video podľa značky > Turtle Beach audio / video;https://www.planeo.sk/turtle-beach-audio-video
3;Audio-Video > Audio / Video podľa značky > Urbanista audio / video;https://www.planeo.sk/urbanista-audio-video
3;Audio-Video > Audio / Video podľa značky > Xiaomi audio / video;https://www.planeo.sk/xiaomi-audio-video
3;Audio-Video > Audio / Video podľa značky > Yenkee audio / video;https://www.planeo.sk/yenkee-audio-video
2;Audio-Video > Darčekové poukazy;https://www.planeo.sk/darcekove-poukazy
2;Audio-Video > Digitálne kamery;https://www.planeo.sk/digitalne-kamery
3;Audio-Video > Digitálne kamery > Kamery do auta;https://www.planeo.sk/kamery-do-auta
3;Audio-Video > Digitálne kamery > Outdoor kamery;https://www.planeo.sk/outdoor-kamery
2;Audio-Video > Elektronika do auta;https://www.planeo.sk/elektronika-do-auta
3;Audio-Video > Elektronika do auta > Autoadaptéry;https://www.planeo.sk/autoadaptery
3;Audio-Video > Elektronika do auta > Autorádiá;https://www.planeo.sk/autoradia
3;Audio-Video > Elektronika do auta > Parkovacie senzory a kamery;https://www.planeo.sk/parkovacie-senzory-a-kamery
3;Audio-Video > Elektronika do auta > Prenosné TV / DVD do auta;https://www.planeo.sk/prenosne-tv-dvd
3;Audio-Video > Elektronika do auta > Príslušenstvo k autorádiám;https://www.planeo.sk/prislusenstvo-k-autoradiam
3;Audio-Video > Elektronika do auta > Reproduktory a subwoofery;https://www.planeo.sk/reproduktory-a-subwoofery
2;Audio-Video > Odporúčané Audio-Video;https://www.planeo.sk/odporucane-audio-video
2;Audio-Video > PLANEO DAYS - Audio-Video;https://www.planeo.sk/planeo-days-audio-video
3;Audio-Video > PLANEO DAYS - Audio-Video > PLANEO DAYS - Audio;https://www.planeo.sk/planeo-days-audio
3;Audio-Video > PLANEO DAYS - Audio-Video > PLANEO DAYS - Digitálne kamery;https://www.planeo.sk/planeo-days-digitalne-kamery
3;Audio-Video > PLANEO DAYS - Audio-Video > PLANEO DAYS - Odporúčané Audio-Video;https://www.planeo.sk/planeo-days-odporucane-audio-video
3;Audio-Video > PLANEO DAYS - Audio-Video > PLANEO DAYS - Prehrávače;https://www.planeo.sk/planeo-days-prehravace
3;Audio-Video > PLANEO DAYS - Audio-Video > PLANEO DAYS - Reproduktory;https://www.planeo.sk/planeo-days-reproduktory
3;Audio-Video > PLANEO DAYS - Audio-Video > PLANEO DAYS - Rádiá;https://www.planeo.sk/planeo-days-radia
3;Audio-Video > PLANEO DAYS - Audio-Video > PLANEO DAYS - Soundbary;https://www.planeo.sk/planeo-days-soundbary
2;Audio-Video > Planeo+ zľavy až do -20% - Audio-Video;https://www.planeo.sk/planeoplus-zlavy-az-do-20-audio-video
3;Audio-Video > Planeo+ zľavy až do -20% - Audio-Video > Planeo+ zľavy až do -20% - Audio;https://www.planeo.sk/planeoplus-zlavy-az-do-20-audio
3;Audio-Video > Planeo+ zľavy až do -20% - Audio-Video > Planeo+ zľavy až do -20% - Odporúčané Audio-Video;https://www.planeo.sk/planeoplus-zlavy-az-do-20-odporucane-audio-video
3;Audio-Video > Planeo+ zľavy až do -20% - Audio-Video > Planeo+ zľavy až do -20% - Soundbary;https://www.planeo.sk/planeoplus-zlavy-az-do-20-soundbary
2;Audio-Video > Prehrávače;https://www.planeo.sk/prehravace
3;Audio-Video > Prehrávače > Bezdrôtové audiosystémy;https://www.planeo.sk/bezdrotove-audiosystemy
3;Audio-Video > Prehrávače > DVD prehrávače;https://www.planeo.sk/dvd-prehravace
3;Audio-Video > Prehrávače > Gramofóny;https://www.planeo.sk/gramofony
