Segment,Kategória,Názov produktu,ID Produktu,Výrobca,EAN,Item ID,Vaša URL,Heureka URL,E-shopov predávajúcich produkt,Popularita,Vaša cena,Vaša pozícia podľa ceny,Vaša pozícia podľa biddingu,Cena za preklik,Najnižšia cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Najvyššia cena
"Auto-moto","Autorádiá","Carlinkit HD2CP-PRO bezdrôtový adaptér Carplay&Android",829143987,"Carlinkit",6972185560980,"080695","https://www.premiumstore.sk/carlinkit-hd2cp-pro-bezdrotovy-adapter-carplay-android/","https://autoradia.heureka.sk/carlinkit-hd2cp-pro",4,5,37.90,1,1.5,0.216,37.90,40.60,47.50,66.99,,,,,,,,,,,,,37.90,40.60,47.50,66.99,
"Auto-moto","Autorádiá","Carlinkit U2W MINI bezdrôtový adaptér Apple Carplay (biely)",730441038,"Carlinkit",6972185560447,"056973","https://www.premiumstore.sk/carlinkit-u2w-mini-bezdrotovy-adapter-apple-carplay--biely/","https://autoradia.heureka.sk/carlinkit-u2w-mini",3,1,22.50,1,1.5,0.172,22.50,28.50,29.63,,,,,,,,,,,,,,,22.50,28.50,29.63,
"Auto-moto","Autorádiá","Ottocast CA525-T3",829370690,"Ottocast",6977341740237,"086948","https://www.premiumstore.sk/bezdrotovy-adapter-ottocast-ca525-t3/","https://autoradia.heureka.sk/ottocast-ca525-t3",5,2,25.50,1,1.5,0.190,25.50,26.89,30.77,31.04,32.90,,,,,,,,,,,25.50,26.89,30.77,31.04,32.90,
"Auto-moto","Autorádiá","OTTOCAST OTTOAIBOX N95C Monitor do auta",834105348,"Ottocast",6977341740169,"087089","https://www.premiumstore.sk/ottocast-ottoaibox-n95c-monitor-do-auta/","https://autoradia.heureka.sk/ottocast-ottoaibox-n95c",5,90,154.50,1,1.5,0.305,154.50,157.79,164.67,167.29,197.00,,,,,,,,,,,154.50,157.79,164.67,167.29,197.00,
"Auto-moto","Autorádiá","Ottocast Wireless adapter, Ottocast, CP82, U2-AIR PRO Carplay (black)",719161108,"Ottocast",5906168433887,"064292","https://www.premiumstore.sk/wireless-adapter--ottocast--cp82--u2-air-pro-carplay--black-/","https://autoradia.heureka.sk/ottocast-cp82-u2-air-pro",3,9,46.00,1,1.5,0.244,46.00,46.32,64.50,,,,,,,,,,,,,,,46.00,46.32,64.50,
"Auto-moto","Autorádiá","Televízny adaptér do auta MAX Ottocast CA361-C4",744722725,"Ottocast",5907085522586,"073151","https://www.premiumstore.sk/televizny-adapter-do-auta-max-ottocast-ca361-c4/","https://autoradia.heureka.sk/ottocast-ca361-c4",3,4,55.50,2,1.5,0.261,52.17,55.50,79.90,,,,,,,,,,,,,,,52.17,55.50,79.90,
"Auto-moto","Brzdové a spojkové hadice","Xtrobb 25242 Súprava na odvzdušnenie bŕzd bicykla, univerzálna",849259464,"Xtrobb",5904665714607,"AT_ITR-00018066","https://www.premiumstore.sk/sada-na-odvzdusnovani-brzd-xtrobb-25242/","https://brzdove-a-spojkove-hadice.heureka.sk/xtrobb-25242-suprava-na-odvzdusnenie-brzd-bicykla-univerzalna_17",1,1,12.00,1,,0.074,12.00,,,,,,,,,,,,,,,,,,,12.00,
"Auto-moto","FM transmittery","FM Transmitter Baseus S-09 Pro, Bluetooth (čierny)",662738518,"baseus",6932172643355,"054589","https://www.premiumstore.sk/fm-transmitter-baseus-s-09-pro--bluetooth--cierny-/","https://fm-transmittery.heureka.sk/baseus-s-09",2,41,10.90,1,,0.091,10.90,18.89,,,,,,,,,,,,,,,,,10.90,18.89,
"Auto-moto","FM transmittery","Ottocast Play2Video Plus Carplay/Android Auto bezdrôtový adaptér",817338350,"Ottocast",5905156100008,"081072","https://www.premiumstore.sk/ottocast-play2video-plus-carplay-android-auto-bezdrotovy-adapter/","https://fm-transmittery.heureka.sk/ottocast-ca515-t",3,6,70.50,1,,0.195,70.50,80.69,84.50,,,,,,,,,,,,,,,70.50,80.69,84.50,
"Auto-moto","Interkomy na motorku","EJEAS E1PRO Bluetooth Helmet Mounted Headphone",742188224,"EJEAS",5907085520919,"072034","https://www.premiumstore.sk/ejeas-e1pro-bluetooth-helmet-mounted-headphone/","https://interkomy-na-motorky.heureka.sk/ejeas-e1pro",6,41,22.50,1,,0.172,22.50,23.92,27.50,27.65,31.99,35.46,,,,,,,,,22.50,23.92,27.50,27.65,31.99,35.46,
"Auto-moto","Interkomy na motorku","EJEAS Q7 motorcycle intercom",707659041,"EJEAS",5906168433986,"064411","https://www.premiumstore.sk/ejeas-q7-motorcycle-intercom/","https://interkomy-na-motorky.heureka.sk/ejeas-q7",7,8,44.00,1,,0.244,44.00,46.20,46.75,53.75,54.32,54.50,58.70,,,,,,,44.00,46.20,46.75,53.75,54.32,54.50,58.70,
"Auto-moto","Interkomy na motorku","Midland BTR1 Advanced, Single",702289554,"Midland",8011869205101,"KB_100002102887","https://www.premiumstore.sk/midland-btr1-advanced--single/","https://interkomy-na-motorky.heureka.sk/midland-bt-r1",3,1,187.90,1,,0.308,187.90,188.00,231.06,,,,,,,,,,,,,,,187.90,188.00,231.06,
"Auto-moto","Interkomy na motorku","Motorcycle Intercom EJEAS MS20",720759771,"EJEAS",5906168436048,"066486","https://www.premiumstore.sk/motorcycle-intercom-ejeas-ms20/","https://interkomy-na-motorky.heureka.sk/ejeas-ms20",6,6,118.90,1,,0.305,118.90,124.83,125.96,147.01,149.00,172.77,,,,,,,,,118.90,124.83,125.96,147.01,149.00,172.77,
"Auto-moto","Interkomy na motorku","Motorcycle Intercom EJEAS MS8-SE",720759769,"EJEAS",5906168436093,"066499","https://www.premiumstore.sk/motorcycle-intercom-ejeas-ms8-se/","https://interkomy-na-motorky.heureka.sk/ejeas-ms8-se",6,41,86.90,1,,0.289,86.90,89.88,90.21,103.19,105.91,107.00,,,,,,,,,86.90,89.88,90.21,103.19,105.91,107.00,
