znacka;model;dodavatelia;najnizsia_cena;najvyssia_cena;rozdiel;najlacnejsi;eany;nazov_atos;nazov_basys;nazov_innpro;nazov_kb;nazov_penta
MHPower;WPU300;atos+penta;79.00;119.50;1.51x;penta;atos:- | penta:8594199731842;Záložní zdroj MHPower WPU-300-12 UPS 300W 12V čistý sinus + baterie;;;;Napäťový menič MHPower WPU-300-12 UPS, 300W, čistý sínus, 12V
MHPower;MPL300;atos+penta;81.00;117.50;1.45x;penta;atos:- | penta:8594199732238;Záložní zdroj MHPower MPL-300-12 UPS 300W 12V čistý sin LiFePO4 + BATERIE;;;;Napäťový menič MHPower MPL-300-12 UPS, 300W, čistý sínus, 12V, podpora LiFePO4 batérií
Pioneer;S320BT;basys+kb;109.90;155.00;1.41x;kb;basys:- | kb:4988028434372;;Pioneer DEH-S320BT autorádio s Bluetooth;;Pioneer MVH-S320BT;
UNI-T;UT221;atos+innpro;93.50;129.50;1.39x;innpro;atos:5901890013437 | innpro:6935750502211;Klešťový multimetr UNI-T UT221;;Digitálny merací prístroj Uni-T UT221;;
UNI-T;UT383;atos+innpro;16.00;22.00;1.38x;innpro;atos:5901890028448 | innpro:6935750538302;Luxmetr UNI-T  UT383;;Svetelný merač UNI-T UT383;;
MHPower;MPU500;atos+penta;94.50;130.00;1.38x;penta;atos:- | penta:8594199730029;Záložní zdroj MHPower MPU-500-12 UPS 500W 12V čistý sinus  + baterie;;;;Napäťový menič MHPower MPU-500-12 záložní zdroj, 12V/230V, 500W, funkce UPS, čistý sinus
TP-Link;RV20;kb+penta;178.50;244.50;1.37x;penta;kb:8885020625196 | penta:8885020625226;;;;TP-Link Tapo RV20 Max Plus;Vysávač TP-Link Tapo RV20 Max robotický s mopom, 5300Pa, MagSlim
UNI-T;UT681L;atos+innpro;8.80;12.00;1.36x;innpro;atos:5901890044790 | innpro:6935750568132;Tester kabelu UNI-T UT681L  (RJ45, RJ11);;Tester sieťových káblov UNI-T UT681L;;
MHPower;WPU500;atos+penta;97.00;129.90;1.34x;penta;atos:- | penta:8594199731859;Záložní zdroj MHPower WPU-500-12 UPS 500W 12V čistý sinus + baterie;;;;Napäťový menič MHPower WPU-500-12 UPS, 500W, čistý sínus, 12V
MHPower;MPU700;atos+penta;113.00;149.00;1.32x;penta;atos:- | penta:8594199730036;Záložní zdroj MHPower MPU-700-12 UPS 700W 12V čistý sinus + baterie;;;;Napäťový menič MHPower MPU-700-12 záložní zdroj, 12V/230V, 700W, funkce UPS, čistý sinus
UNI-T;UT302D;atos+innpro;60.50;79.00;1.31x;innpro;atos:5901890074933 | innpro:6935750530290;Teploměr bezkontaktní UNI-T  UT302D+;;Infračervený teplomer Uni-T UT302D+;;
MHPower;MPU1200;atos+penta;210.00;274.50;1.31x;penta;atos:- | penta:8594199730050;Záložní zdroj MHPower MPU-1200-12 UPS 1200W 12V čistý sinus + baterie;;;;Napäťový menič MHPower MPU-1200-12 záložní zdroj, 12V/230V, 1200W, funkce UPS, čistý sinus
UNI-T;UT18D;atos+penta;41.90;54.00;1.29x;penta;atos:5901890018319 | penta:6935750518045;UNI-T UT18D Zkoušečka napětí;;;;Skúšačka UNI-T UT18D vadaska
Pioneer;A1301C;basys+kb;104.90;135.00;1.29x;kb;basys:- | kb:4988028509230;;Pioneer TS-A1301C komponentný autoreproduktor;;Pioneer TS-A1301C;
UNI-T;UT07A;atos+innpro;7.70;9.80;1.27x;innpro;atos:5901890027694 | innpro:6935750507261;Tester elektrických zásuvek UNI-T UT07A-EU;;Tester zásuviek UNI-T UT07A-EU;;
Pioneer;A340DAB;basys+kb;229.00;279.00;1.22x;basys;basys:- | kb:4988028479106;;Pioneer DMH-A340DAB multimediálna jednotka do auta;;Pioneer DMH-A340DAB;
UNI-T;UT658;atos+innpro;8.30;10.00;1.20x;innpro;atos:5901890028462 | innpro:6935750565803;Tester USB UNI-T UT658;;Recenzia zariadenia USB Uni-T UT658;;
UNI-T;UT118B;atos+innpro;27.00;32.50;1.20x;innpro;atos:5901436743972 | innpro:6935750511824;Multimetr UNI-T UT118B - PEN TYPE;;Digitálny multimeter UNI-T UT118B;;
UNI-T;UT256;atos+innpro;28.00;32.90;1.18x;innpro;atos:5901890078023 | innpro:6935750525630;Vidlicový multimetr UNI-T UT256;;Multimeter Uni-T UT256;;
UNI-T;UT191E;atos+innpro;60.00;70.90;1.18x;innpro;atos:5901890044929 | innpro:6935750519103;Multimetr UNI-T  UT191E  PRO Line;;Profesionálny digitálny multimeter UNI-T UT191E;;
UNI-T;LM40T;atos+innpro;29.50;34.50;1.17x;innpro;atos:5901890056915 | innpro:6935750540947;Laserový měřič vzdálenosti / svinovací metr UNI-T LM 40T;;Laserový diaľkomer Uni-T LM40T;;
UNI-T;UT667;atos+innpro;45.50;53.00;1.16x;atos;atos:6935750566749 | innpro:6935750566756;Kamera endoskopická UNI-T UT667-5m;;Uni-T UT667-10m endoskop;;
UNI-T;UT363S;atos+innpro;30.00;34.50;1.15x;innpro;atos:5901890044769 | innpro:6935750536339;Anemometr UNI-T  UT363S;;Anemometer UNI-T UT363S;;
Pioneer;A240DAB;basys+kb;213.90;245.00;1.15x;kb;basys:- | kb:4988028479090;;Pioneer DMH-A240DAB multimediálna jednotka do auta;;Pioneer DMH-A240DAB;
Amiko;HD265;atos+kb;45.90;52.50;1.14x;atos;atos:5999883023525 | kb:5999883026946;AMIKO Mini HD265;;;Amiko DVB-S2 přijímač Mini HD265 WIFI;
UNI-T;UT301A;atos+innpro;36.90;41.90;1.14x;atos;atos:5901890056755 | innpro:6935750530177;Teploměr bezkontaktní UNI-T  UT301A+;;Infračervený teplomer Uni-T UT301A+;;
UNI-T;UT363;atos+innpro;16.00;17.90;1.12x;innpro;atos:5901890028424 | innpro:6935750536308;Anemometr UNI-T  UT363;;Anemometer UNI-T UT363;;
UNI-T;UT302C;atos+innpro;68.00;76.50;1.12x;innpro;atos:5901890074919 | innpro:6935750530283;Teploměr bezkontaktní UNI-T  UT302C+;;Infračervený teplomer Uni-T UT302C+;;
UNI-T;UT383S;atos+innpro;25.50;28.50;1.12x;innpro;atos:5901890044974 | innpro:6935750538326;Luxmetr UNI-T  UT383S;;Svetelný merač UNI-T UT383S;;
Ermenrich;VE40;atos+penta;127.00;142.00;1.12x;penta;atos:5905555021508 | penta:5905555016733;Průmyslový endoskop Ermenrich Seek VE40 Fialový;;;;Endoskop Ermenrich Seek VE40 Priemyselný
