ean;stara_url;stary_nazov;novy_dodavatel;novy_nazov;nova_url;stav
8592718018757;https://premiumstore.sk/solight-led-ziarovka-bodova-5w-gu10-4000k-425lm-biela#21431;Solight LED žiarovka, bodová , 5W, GU10, 4000K, 425lm, biela;solight;Solight LED žiarovka, bodová , 5W, GU10, 4000K, 425lm, biela;https://www.premiumstore.sk/solight-led-ziarovka--bodova-5w--gu10--4000k--425lm--biela/;OK
8592718018474;https://premiumstore.sk/solight-led-ziarovka-bodova-5w-gu10-6000k-425lm-biela#21429;Solight LED žiarovka, bodová , 5W, GU10, 6000K, 425lm, biela;solight;Solight LED žiarovka, bodová , 5W, GU10, 6000K, 425lm, biela;https://www.premiumstore.sk/solight-led-ziarovka--bodova-5w--gu10--6000k--425lm--biela/;OK
8592718018597;https://premiumstore.sk/solight-led-ziarovka-bodova-5w-gu10-3000k-425lm-biela#21428;Solight LED žiarovka, bodová , 5W, GU10, 3000K, 425lm, biela;solight;Solight LED žiarovka, bodová , 5W, GU10, 3000K, 425lm, biela;https://www.premiumstore.sk/solight-led-ziarovka--bodova-5w--gu10--3000k--425lm--biela/;OK
8592718024055;https://premiumstore.sk/solight-led-stmievatelna-lampicka-s-bezdrotovym-nabijanim-10w-zmena-chromatickosti-siva#21427;Solight LED stmievateľná lampička s bezdrôtovým nabíjaním, 10W,  zmena chromatickosti, sivá;solight;Solight LED stmievateľná lampička s bezdrôtovým nabíjaním, 10W,  zmena chromatickosti, sivá;https://www.premiumstore.sk/solight-led-stmievatelna-lampicka-s-bezdrotovym-nabijanim--10w-zmena-chromatickosti--siva/;OK
8592718023348;https://premiumstore.sk/solight-predlzovaci-privod-spojka-1-zasuvka-30m-3-x-1-5mm2-gumova-cierna#21422;Solight predlžovací prívod - spojka, 1 zásuvka, 30m, 3 x 1,5mm2, gumová, čierna;solight;Solight predlžovací prívod - spojka, 1 zásuvka, 30m, 3 x 1,5mm2, gumová, čierna;https://www.premiumstore.sk/solight-predlzovaci-privod-spojka--1-zasuvka--30m--3-x-1-5mm2--gumova--cierna/;OK
8592718027421;https://premiumstore.sk/solight-otocna-ip-kamera#21421;Solight otočná IP kamera;solight;Solight otočná IP kamera;https://www.premiumstore.sk/solight-otocna-ip-kamera/;OK
8592718020255;https://premiumstore.sk/solight-meteostanica-farebny-lcd-teplota-vlhkost-rcc-cierna#21420;Solight meteostanica, farebný LCD, teplota, vlhkosť, RCC, čierna;solight;Solight meteostanica, farebný LCD, teplota, vlhkosť, RCC, čierna;https://www.premiumstore.sk/solight-meteostanica--farebny-lcd--teplota--vlhkost--rcc--cierna/;OK
8592718013202;https://premiumstore.sk/solight-led-svetelny-pas-s-testrom-5m-sada-s-12v-adapterom-4-8w-m-ip20-studena-biela#21411;Solight LED svetelný pás s testrom, 5m, sada s 12V adaptérom, 4,8W/m, IP20, studená biela;solight;Solight LED svetelný pás s testrom, 5m, sada s 12V adaptérom, 4,8W/m, IP20, studená biela;https://www.premiumstore.sk/solight-led-svetelny-pas-s-testrom--5m--sada-s-12v-adapterom--4-8w-m--ip20--studena-biela/;OK
8592718022587;https://premiumstore.sk/solight-pridavna-zasuvka-pre-dy08-learning-code#21405;Solight prídavná zásuvka pre DY08, learning code;solight;Solight prídavná zásuvka pre DY08, learning code;https://www.premiumstore.sk/solight-pridavna-zasuvka-pre-dy08--learning-code/;OK
8592718018658;https://premiumstore.sk/solight-led-vonkajsia-vianocna-retaz-50led-5m-8-funkcii-ip44-3x-aa-tepla-biela#21404;Solight LED vonkajšia vianočná reťaz, 50LED, 5m, 8 funkcií, IP44, 3x AA, teplá biela;solight;Solight LED vonkajšia vianočná reťaz, 50LED, 5m, 8 funkcií, IP44, 3x AA, teplá biela;https://www.premiumstore.sk/solight-led-vonkajsia-vianocna-retaz--50led--5m--8-funkcii--ip44--3x-aa--tepla-biela/;OK
8592718017965;https://premiumstore.sk/solight-led-pasik-pre-tv-100cm-usb-vypinac-studena-biela#21403;Solight LED pásik pre TV, 100cm, USB, vypínač, studená biela;solight;Solight LED pásik pre TV, 100cm, USB, vypínač, studená biela;https://www.premiumstore.sk/solight-led-pasik-pre-tv--100cm--usb--vypinac--studena-biela/;OK
8592718024581;https://premiumstore.sk/solight-led-podhladove-svietidlo-bodove-5w-400lm-3000k-okruhle-biele#21402;Solight LED podhľadové svietidlo bodové, 5W, 400lm, 3000K, okrúhle,  biele;solight;Solight LED podhľadové svietidlo bodové, 5W, 400lm, 3000K, okrúhle,  biele;https://www.premiumstore.sk/solight-led-podhladove-svietidlo-bodove--5w--400lm--3000k--okruhle-biele/;OK
8592718024178;https://premiumstore.sk/solight-led-ziarivka-linearna-pro-t8-22w-3080lm-4000k-150cm-alu-pc#21401;Solight LED žiarivka lineárna PRO+, T8, 22W, 3080lm, 4000K, 150cm, Alu + PC;solight;Solight LED žiarivka lineárna PRO+, T8, 22W, 3080lm, 4000K, 150cm, Alu + PC;https://www.premiumstore.sk/solight-led-ziarivka-linearna-pro-t8--22w--3080lm--4000k--150cm--alu-pc/;OK
8592718023362;https://premiumstore.sk/solight-predlzovaci-privod-ip44-4-zasuvky-gumovy-kabel-vypinac-vonkajsi-10m#21400;Solight predlžovací prívod IP44, 4 zásuvky, gumový kábel, vypínač, vonkajší, 10m;solight;Solight predlžovací prívod IP44, 4 zásuvky, gumový kábel, vypínač, vonkajší, 10m;https://www.premiumstore.sk/solight-predlzovaci-privod-ip44--4-zasuvky--gumovy-kabel--vypinac--vonkajsi--10m/;OK
8592718022570;https://premiumstore.sk/solight-dialkovo-ovladane-zasuvky-set-3-1-3-zasuvky-1-ovladac#21397;Solight diaľkovo ovládané zásuvky set 3 + 1, 3 zásuvky, 1 ovládač;solight;Solight diaľkovo ovládané zásuvky set 3 + 1, 3 zásuvky, 1 ovládač;https://www.premiumstore.sk/solight-dialkovo-ovladane-zasuvky-set-3-1--3-zasuvky--1-ovladac/;OK
