old_url;new_url;match_type;old_full_path;new_full_path;old_id
/prekvapkavace/;/kavovary-a-espressa/;exact;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Prekvapkávače;Domáce spotrebiče > Kávovary a espressá;39816
/kavovary-na-kapsle/;/kavovary-a-espressa/;exact;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Kávovary na kapsle;Domáce spotrebiče > Kávovary a espressá;39903
/napenovace-mlieka/;/kavovary-a-espressa/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Napěňovače mlieka;Domáce spotrebiče > Kávovary a espressá;39918
/kava/;/kavovary-a-espressa/;exact;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Káva;Domáce spotrebiče > Kávovary a espressá;39951
/pakove-kavovary/;/kavovary-a-espressa/;exact;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Pákové kávovary;Domáce spotrebiče > Kávovary a espressá;40167
/moka-kanvice-a-frenchpressy/;/kavovary-a-espressa/;exact;Domáce spotrebiče > Malé spotrebiče > Kávovary a espressá > Moka kanvice a frenchpressy;Domáce spotrebiče > Kávovary a espressá;40221
/hriankovace/;/sendvicovace--hriankovace--vaflovace/;exact;Domáce spotrebiče > Malé spotrebiče > Sendvičovače, hriankovače, vaflovače > Hriankovače;Domáce spotrebiče > Sendvičovače, hriankovače, vaflovače;39498
/sendvicovace/;/sendvicovace--hriankovace--vaflovace/;exact;Domáce spotrebiče > Malé spotrebiče > Sendvičovače, hriankovače, vaflovače > Sendvičovače;Domáce spotrebiče > Sendvičovače, hriankovače, vaflovače;39501
/vaflovace/;/sendvicovace--hriankovace--vaflovace/;exact;Domáce spotrebiče > Malé spotrebiče > Sendvičovače, hriankovače, vaflovače > Vaflovače;Domáce spotrebiče > Sendvičovače, hriankovače, vaflovače;39627
/sklokeramicke-varne-dosky/;/varne-dosky/;exact;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Sklokeramické varné dosky;Domáce spotrebiče > Varné dosky;39552
/plynove-varne-dosky/;/varne-dosky/;exact;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Plynové varné dosky;Domáce spotrebiče > Varné dosky;39615
/indukcne-varne-dosky/;/varne-dosky/;exact;Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Indukčné varné dosky;Domáce spotrebiče > Varné dosky;39894
/elektricke-varne-dosky/;/varne-dosky/;ancestor(-1);Domáce spotrebiče > Vstavané spotrebiče > Varné dosky > Elektrické varné dosky;Domáce spotrebiče > Varné dosky;40851
/elektricke-panvice/;/fritezy-a-hrnce/;exact;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Elektrické panvice;Domáce spotrebiče > Fritézy a hrnce;39570
/multifunkcne-hrnce/;/fritezy-a-hrnce/;exact;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Multifunkčné hrnce;Domáce spotrebiče > Fritézy a hrnce;39573
/zavaracie-hrnce/;/fritezy-a-hrnce/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Zaváracie hrnce;Domáce spotrebiče > Fritézy a hrnce;39657
/fritezy/;/fritezy-a-hrnce/;exact;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Fritézy;Domáce spotrebiče > Fritézy a hrnce;39672
/parne-hrnce/;/fritezy-a-hrnce/;exact;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Parné hrnce;Domáce spotrebiče > Fritézy a hrnce;39813
/ryzovary/;/fritezy-a-hrnce/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Ryžovary;Domáce spotrebiče > Fritézy a hrnce;39984
/polievkovary/;/fritezy-a-hrnce/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Polievkovary;Domáce spotrebiče > Fritézy a hrnce;40044
/varice-vajec/;/fritezy-a-hrnce/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Variče vajec;Domáce spotrebiče > Fritézy a hrnce;40062
/sous-vide/;/fritezy-a-hrnce/;ancestor(-1);Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Sous-Vide;Domáce spotrebiče > Fritézy a hrnce;40467
/pomale-hrnce/;/fritezy-a-hrnce/;exact;Domáce spotrebiče > Malé spotrebiče > Fritézy a hrnce > Pomalé hrnce;Domáce spotrebiče > Fritézy a hrnce;40500
/vakuovacky-a-zvaracky/;/vakuovacky-a-zvaracky-folii/;exact;Domáce spotrebiče > Malé spotrebiče > Vákuovačky a zváračky fólií > Vákuovačky a zváračky;Domáce spotrebiče > Vákuovačky a zváračky fólií;39579
/prislusenstvo-pre-vakuovacky-a-zvaracky/;/vakuovacky-a-zvaracky-folii/;exact;Domáce spotrebiče > Malé spotrebiče > Vákuovačky a zváračky fólií > Príslušenstvo pre vákuovačky a zváračky;Domáce spotrebiče > Vákuovačky a zváračky fólií;40287
