"code";"pairCode";"name";"guid";"externalId";"ean";"productNumber";"serialNumber";"defaultCategory";"categoryText";"categoryText2";"categoryText3";"categoryText4";"categoryText5";"categoryText6";"categoryText7";"categoryText8";"categoryText9";"categoryText10";"xmlFeedName";""
"SOL_WZ323-1";"";"Solight LED žiarovka G4, 1,5W, 3000K, 130lm";"004b335c-92d6-11f1-b51b-bc24110eff41";"";"8592718018450";"";"";"Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > G9&G4";"Elektroinštalačný materiál > Osvetlenie > LED Žiarovky > G9&G4";"";"";"";"";"";"";"";"";"";"SOLIGHT LED žiarovka G4 1,5W teplá biela WZ323-1";""
"SOL_WL912";"";"Solight LED nábytkové osvetlenie, 2,5 W, 200lm, nabíjacie, PIR sensor, 31cm";"0093ef02-92d6-11f1-9aad-bc24110eff41";"";"8592718032357";"";"";"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Nočné a dekoratívne svetielka";"Elektroinštalačný materiál > Osvetlenie > LED osvetlenie > Nočné a dekoratívne svetielka";"";"";"";"";"";"";"";"";"";"Solight WL912";""
"SOL_SSC11X5E";"";"Solight UTP CAT.5E kábel, RJ45 konektor - RJ45 konektor, 15m";"00dfe628-92d6-11f1-bce6-bc24110eff41";"";"8592718028404";"";"";"TV, audio a video > AV káble > Computer > UTP";"TV, audio a video > AV káble > Computer > UTP";"";"";"";"";"";"";"";"";"";"Solight SSC11X5E UTP CAT.5E, RJ45 konektor - RJ45 konektor, 15m";""
"SOL_5E61B";"";"Solight bezpečnostná zátka čierna, sada 5ks + 1 kľúčik";"00eb7182-92d6-11f1-b475-bc24110eff41";"";"8585001573262";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"";"";"";"";"";"";"";"";"";"Solight sada 5x bezpečnostná zátka + kľúčik SL0540";""
"SOL_PP100-B";"";"Solight predlžovací prívod, 4 zásuvky, čierny, 2m, výsuvný blok zásuviek, kruhový tvar";"012c95c2-92d6-11f1-abbd-bc24110eff41";"";"8592718025854";"";"";"Elektroinštalačný materiál > Predlžovacie káble a zásuvky > Výsuvné a vstavané zásuvky";"Elektroinštalačný materiál > Predlžovacie káble a zásuvky > Výsuvné a vstavané zásuvky";"";"";"";"";"";"";"";"";"";"Solight PP100-B";""
"SOL_WO64-W";"";"Solight LED stolná lampička 10W, 490lm, zmena CCT, stmievanie, biela";"0153abf8-92d6-11f1-a457-bc24110eff41";"";"8592718033668";"";"";"Elektroinštalačný materiál > Osvetlenie > LED stolové lampy";"Elektroinštalačný materiál > Osvetlenie > LED stolové lampy";"";"";"";"";"";"";"";"";"";"Solight WO64-W";""
"SOL_P105";"";"Solight rozbočovač, 2x 10A, biely-sivý, vypínač";"01748364-92d6-11f1-970f-bc24110eff41";"";"8592718026943";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"";"";"";"";"";"";"";"";"";"Solight P105";""
"SOL_P106";"";"Solight rozbočovač, 3x 15A, biely-sivý, vypínač";"017f0064-92d6-11f1-8be4-bc24110eff41";"";"8592718026950";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"";"";"";"";"";"";"";"";"";"Solight P106";""
"SOL_1L81";"";"Solight bezdrôtový zvonček s nočným svetielkom, do zásuvky, 180m, biely, learning code";"018a032e-92d6-11f1-9380-bc24110eff41";"";"8592718034818";"";"";"Elektroinštalačný materiál > Zvončeky";"Elektroinštalačný materiál > Zvončeky";"";"";"";"";"";"";"";"";"";"Solight 1L81";""
"SOL_SSC1402";"";"Solight USB kábel, USB 2.0 A konektor - USB B micro konektor, blister, 2m";"01d64a86-92d6-11f1-a88e-bc24110eff41";"";"8592718022891";"";"";"TV, audio a video > AV káble > Computer > USB";"TV, audio a video > AV káble > Computer > USB";"";"";"";"";"";"";"";"";"";"Solight SSC1402 microUSB, 2m";""
"SOL_P110C";"";"Solight rozbočka kocka, 3x 16A + USB A+C, biela, vypínač";"01f5de78-92d6-11f1-85ce-bc24110eff41";"";"8592718039714";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"Elektroinštalačný materiál > Ostatné > 230V > Rozbočky";"";"";"";"";"";"";"";"";"";"SOLIGHT P110C";""
"SOL_CA09B";"";"Solight digitálne hodiny s budíkom";"02221100-92d6-11f1-8231-bc24110eff41";"";"8592718042103";"";"";"Domáce spotrebiče > Malé spotrebiče > Meteostanice";"Domáce spotrebiče > Malé spotrebiče > Meteostanice";"";"";"";"";"";"";"";"";"";"Solight CA09B";""
"SOL_PA01-IN";"";"Solight cestovný adaptér do Indie, typ D";"023745f2-92d6-11f1-817e-bc24110eff41";"";"8592718043926";"";"";"Elektroinštalačný materiál > Cestovné adaptéry";"Elektroinštalačný materiál > Cestovné adaptéry";"";"";"";"";"";"";"";"";"";"SKROSS 1.500215-E";""
"SOL_1D23";"";"Solight bezdrôtový hlásič pohybu/gong, magnet čidlo na dvere, napájanie zo zásuvky";"024bf934-92d6-11f1-9f98-bc24110eff41";"";"8592718046088";"";"";"Elektroinštalačný materiál > Zvončeky";"Elektroinštalačný materiál > Zvončeky";"";"";"";"";"";"";"";"";"";"Solight 1D23";""
"SOL_PX03";"";"Solight ochranný box na káble a predlžovacie prívody IP54";"02757a70-92d6-11f1-976a-bc24110eff41";"";"8592718036447";"";"";"Elektroinštalačný materiál > Ostatné > 230V > Držiaky zásuviek";"Elektroinštalačný materiál > Ostatné > 230V > Držiaky zásuviek";"";"";"";"";"";"";"";"";"";"SOLIGHT Ochranný box na káble a predlžovacie prívody IP54 PX03";""
