ean;stara_url;stary_nazov;stara_kategoria;najdena_kategoria;cesta_kategorie;nova_url_kategorie;skore;pocet_zhod;istota
M0503N;https://premiumstore.sk/teplomer-bezkontaktni-emos-m0503n#74068;Teploměr bezkontaktní EMOS M0503N;;;;;0.00;0;ZIADNA
H5025;https://premiumstore.sk/gosmart-bezdratovy-dverni-senzor-emos-ip-2011z-zigbee#74065;GoSmart bezdrátový dveřní senzor EMOS IP-2011Z, ZigBee;;;;;0.00;0;ZIADNA
H5024;https://premiumstore.sk/pir-senzor-pohybove-cidlo-emos-h5024-gosmart-ip20-zigbee#74064;PIR senzor (pohybové čidlo) EMOS H5024 GoSmart IP20, Zigbee;;PIR čidlá;Bezpečnosť a smart domácnosť > Zabezpečenie > PIR čidlá;pir-cidla;8.27;1;NIZKA
PC01305;https://premiumstore.sk/dvouzilovy-pohyblivy-privod-emos-pc01305-5-m-1-zasuvka-cerny-pvc-0-75-mm2#74056;Dvoužilový pohyblivý přívod EMOS PC01305 / 5 m / 1 zásuvka / černý / PVC / 0,75 mm2;;Pevné kruhové potrubie - PVC;Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Pevné kruhové potrubie - PVC;pevne-kruhove-potrubie-pvc;7.17;1;NIZKA
PC01303;https://premiumstore.sk/dvouzilovy-pohyblivy-privod-emos-pc01303-3-m-1-zasuvka-cerny-pvc-0-75-mm2#74055;Dvoužilový pohyblivý přívod EMOS PC01303 / 3 m / 1 zásuvka / černý / PVC / 0,75 mm2;;Pevné kruhové potrubie - PVC;Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Pevné kruhové potrubie - PVC;pevne-kruhove-potrubie-pvc;7.17;1;NIZKA
PC01301;https://premiumstore.sk/dvouzilovy-pohyblivy-privod-emos-pc01301-1-5-m-1-zasuvka-cerny-pvc-0-75-mm2#74054;Dvoužilový pohyblivý přívod EMOS PC01301 / 1,5 m / 1 zásuvka / černý / PVC / 0,75 mm2;;Pevné kruhové potrubie - PVC;Elektroinštalačný materiál > Ventilačné technika > Vzduchovody > Pevné kruhové potrubie - PVC;pevne-kruhove-potrubie-pvc;7.17;1;NIZKA
H2060;https://premiumstore.sk/sada-domovniho-videotelefonu-emos-em-04z-2wire-h2060#74045;Sada domovního videotelefonu EMOS EM-04Z 2WIRE /H2060/;;;;;0.00;0;ZIADNA
Z7905;https://premiumstore.sk/pestebni-lampa-emos-z7905-led-grow-7-w-casovac-bila#74043;Pěstební lampa EMOS Z7905 LED GROW 7 W, časovač, bílá;;Pěstební lampy;Záhrada > Záhradné doplnky > Pestovanie > Pěstební lampy;pestebni-lampy;8.27;1;NIZKA
Z7904;https://premiumstore.sk/pestebni-lampa-emos-z7904-led-grow-7-w-casovac-stmivatelna-bila#74042;Pěstební lampa EMOS Z7904 LED GROW 7 W, časovač, stmívatelná, bílá;;Pěstební lampy;Záhrada > Záhradné doplnky > Pestovanie > Pěstební lampy;pestebni-lampy;8.27;1;NIZKA
Z7902;https://premiumstore.sk/pestebni-lampa-emos-z7902-led-grow-8-w-casovac-stmivatelna-bila#74040;Pěstební lampa EMOS Z7902 LED GROW 8 W, časovač, stmívatelná, bílá;;Pěstební lampy;Záhrada > Záhradné doplnky > Pestovanie > Pěstební lampy;pestebni-lampy;8.27;1;NIZKA
Z7901;https://premiumstore.sk/pestebni-lampa-emos-z7901-led-grow-5-w-casovac-bila#74039;Pěstební lampa EMOS Z7901 LED GROW 5 W, časovač, bílá;;Pěstební lampy;Záhrada > Záhradné doplnky > Pestovanie > Pěstební lampy;pestebni-lampy;8.27;1;NIZKA
