"importProduktId","shopName","CATEGORYTEXT","shopId","PRODUCT","PRODUCTNAME","ITEM_ID","URL","PRICE_VAT","EAN","suggestEan","suggestProductName","suggestCategoryTree","suggestPriceMin","suggestPriceMax","suggestProductUrl"
"2517583270","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Hi-Fi komponenty | Zosilňovače","4603","Bose Pro BOSE VERITAS 2160BH Integrovaný mixér-zosilňovač","","BAS_BASYS-B_892121-2110","https://www.premiumstore.sk/bose-veritas-2160bh-integrovany-mixer-zosilnovac/","1230","","","","","","",""
"2517583204","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Slúchadlá","4603","MEZE AUDIO postriebrený PCUHD premium cable – 4,4 mm","","BAS_BASYS-M3_5-S4_4P","https://www.premiumstore.sk/meze-audio-postriebreny--pcuhd-premium-cable---4-4-mm/","419","","","","","","",""
"2514059389","Premiumstore.sk","Heureka.sk | Elektronika | Počítače a notebooky | Príslušenstvo k počítačom | Webkamery","4603","Konferenčný reproduktor EMEET OfficeCore M3","","085714","https://www.premiumstore.sk/konferencny-reproduktor-emeet-officecore-m3/","136.9","6971337721255","","","","","",""
"2514056979","Premiumstore.sk","Heureka.sk | Gaming | Herné príslušenstvo | Herné ovládače | Gamepady","4603","Bezdrôtový ovládač ONIKUMA C1","","075592","https://www.premiumstore.sk/bezdrotovy-ovladac-onikuma-c1/","16.5","6972470563801","","","","","",""
"2514055829","Premiumstore.sk","TV, audio a video | Počítače a príslušenstvo | Herné príslušenstvo | Simulátory | Simulácia pretekov","4603","PXN Stojan na riadidlá PXN-A10","","066142","https://www.premiumstore.sk/stojan-na-riadidla-pxn-a10/","78.5","6948052902207","6948052902207","PXN Nastavitelný herní stojan na volant PXN-A10","Gaming | Herné príslušenstvo | Herné sedadlá a kokpity","94.5","94.5","herni-sedacky-kokpity.heureka.sk/pxn-nastavitelny-herni-stojan-na-volant-pxn-a10"
"2514063327","Premiumstore.sk","Domáce spotrebiče | Malé spotrebiče | Dezinfekčné lampy | Ozónové","4603","Solight dezinfekčná UV lampa 38W","","SOL_GL05-38","https://www.premiumstore.sk/solight-dezinfekcna-uv-lampa-38w/","22","8592718031398","8592718031398","Solight GL05-38","Bývanie a doplnky | Osvetlenie a svietidlá | Lampičky","22.07","58.9","stolne-lampy.heureka.sk/solight-gl05-38"
"2514082512","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Televízory","4603","Přenosný kufřík na projektor KRUGER & MATZ KM0374","","AT_LEC-KM0374","https://www.premiumstore.sk/prenosny-kufrik-na-projektor-kruger-matz-km0374/","16.9","5901890105347","5901890105347","Taška na projektor KRUGER & MATZ KM0374","Elektronika | TV, audio, video | Projekčná technika | Príslušenstvo k projektorom | Držiaky k projektorom","11.99","11.99","drziaky-k-projektorom.heureka.sk/taska-na-projektor-kruger-matz-km0374_8"
"2514059348","Premiumstore.sk","Heureka.sk | Šport a outdoor | Športy | Vodné športy | Potápačské vybavenie | Podvodné skútre","4603","Ovládač Waydoo Subnado Plus – štandardný","","083571","https://www.premiumstore.sk/ovladac-waydoo-subnado-plus---standardny/","37.9","6974416942060","","","","","",""
"2514057642","Premiumstore.sk","Bezpečnosť a smart domácnosť | Prvky výkonu | Senzory pre smart domácnosť","4603","Detektor oxidu uhoľnatého X-Sense XC01-M Link+ Pro","","079318","https://www.premiumstore.sk/detektor-oxidu-uholnateho-x-sense-xc01-m-link--pro/","27.9","810194780592","","","","","",""
"2526573629","Premiumstore.sk","Heureka.sk | Dielňa, stavba, záhrada | Stavba | Elektromateriály | Elektroinštalačný materiál | Zásuvky, vypínače, termostaty | Termostaty","4603","MOES WHT-006-GB-WH Wi-Fi termostat pre elektrické kúrenie (biely)","","087529","https://www.premiumstore.sk/moes-wht-006-gb-wh-wi-fi-termostat-pre-elektricke-kurenie--biely-/","32.5","6974246471662","","","","","",""
"2517583122","Premiumstore.sk","Profesionálna audio technika | Hudobné nástroje a príslušenstvo | Gitarové príslušenstvo","4603","TC Electronic JIMS 800 PREAMP, gitarový predzosilňovač","","BAS_BASYS-TC_0709-AJV86","https://www.premiumstore.sk/tc-electronic-jims-800-preamp--gitarovy-predzosilnovac/","150","","","","","","",""
"2514061815","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Reprosústavy a reproduktory","4603","Monacor SP-7/4SQ Univerzálny reproduktor, 8 WMAX, 4 WRMS, 4 Ω","","MON_SP-7_4SQ","https://www.premiumstore.sk/monacor-sp-7-4sq-univerzalny-reproduktor--8-wmax--4-wrms--4-/","12","4007754137729","","","","","",""
"2515225623","Premiumstore.sk","Heureka.sk | Elektronika | TV, audio, video | Reproduktory, soundbary | Reprosústavy a reproduktory","4603","BOSE Soundlink Micro 2nd Gen - Sandstone","","BAS_BASYS-B_895098-0300","https://www.premiumstore.sk/bose-soundlink-micro-2nd-gen-sandstone/","105","","","","","","",""
